epstein_name,entity,entity_type,action,timestamp,doc_id,claim_id,sequence_order,document_category,file_path,paragraph_summary,entity_original
Jeffrey Epstein,Bill Clinton,government official,provided air transport to,2000,HOUSE_OVERSIGHT_022863,HOUSE_OVERSIGHT_022863:7,7,media_article,data/001_split/HOUSE_OVERSIGHT_022863.txt,"This is a detailed journalistic profile of Jeffrey Epstein written by a reporter who conducted extensive interviews with him in 2012-2013. The article traces Epstein's rise from a mathematics teacher at an elite prep school to a powerful financial advisor and wealth manager for billionaires and world leaders. It documents his business model of providing advisory services to hyper-wealthy individuals on navigating billion-dollar fortunes and geopolitical matters. The profile also addresses Epstein's 2008 conviction in Palm Beach for soliciting prostitution from underage girls (nine of the 18 victims were minors), his 13-month jail sentence, sex offender status, and settlement payments to victims. Despite this criminal past and continued notoriety, the article details how powerful figures including Bill Gates, Bill Clinton, major financiers, and government officials continue to seek Epstein's counsel, viewing him as an independent source of information and analysis unburdened by institutional ties. The article examines both Epstein's explanation of his influence (his lack of institutional affiliations makes him a valuable 'honest broker') and the public's skepticism regarding his sources of wealth and continued access to power. Near the end, the article references new allegations from Virginia Roberts claiming sex trafficking and connects this to emerging scandal involving Prince Andrew and attorney Alan Dershowitz.",Bill Clinton
Jeffrey Epstein,Bill Clinton,government official,flew,2000-01-01,HOUSE_OVERSIGHT_014829,HOUSE_OVERSIGHT_014829:5,5,court_filing,data/new_docs_nov2024_processed/tranche_015/HOUSE_OVERSIGHT_014829.txt,"The document is a court filing (Case 1:15‑cv‑07433‑RWS, filed 17 March 2017) that includes a heavily corrupted newspaper‑style article about Jeffrey Epstein. It outlines his rise from a Manhattan parks employee to a Wall Street‑linked financier managing billions for clients, his extensive real‑estate portfolio, and his private jet fleet. The text emphasizes Epstein’s close ties to Ghislaine Maxwell, who introduced him to Prince Andrew at Mar‑a‑Lago in the early 2000s, and mentions his social flights with Bill Clinton and Kevin Spacey on an AIDS‑related mission. It also lists other prominent friends such as Donald Trump, former Israeli Prime Minister Ehud Barak, economist Larry Summers, and Les Wexner as a mentor, underscoring the breadth of his high‑level connections and the potential influence these relationships afforded him.",Bill Clinton
Jeffrey Epstein,Kevin Spacey,,flew,2000-01-01,HOUSE_OVERSIGHT_014829,HOUSE_OVERSIGHT_014829:6,6,court_filing,data/new_docs_nov2024_processed/tranche_015/HOUSE_OVERSIGHT_014829.txt,"The document is a court filing (Case 1:15‑cv‑07433‑RWS, filed 17 March 2017) that includes a heavily corrupted newspaper‑style article about Jeffrey Epstein. It outlines his rise from a Manhattan parks employee to a Wall Street‑linked financier managing billions for clients, his extensive real‑estate portfolio, and his private jet fleet. The text emphasizes Epstein’s close ties to Ghislaine Maxwell, who introduced him to Prince Andrew at Mar‑a‑Lago in the early 2000s, and mentions his social flights with Bill Clinton and Kevin Spacey on an AIDS‑related mission. It also lists other prominent friends such as Donald Trump, former Israeli Prime Minister Ehud Barak, economist Larry Summers, and Les Wexner as a mentor, underscoring the breadth of his high‑level connections and the potential influence these relationships afforded him.",Kevin Spacey
Jeffrey Epstein,"Ghislaine Maxwell, Virginia Roberts, and ET",,traveled on private plane with,2000-12-11,HOUSE_OVERSIGHT_010757_part2,HOUSE_OVERSIGHT_010757_part2:1,1,transcript,data/001_split/HOUSE_OVERSIGHT_010757_part2.txt,"This is a videotaped deposition transcript from October 16, 2015, in the civil case Edwards v. Dershowitz (Case No. CACE 15-000072) in Broward County, Florida. The document contains extensive testimony from Alan Dershowitz defending himself against allegations made by Virginia Roberts (represented by Bradley Edwards and Paul Cassell) that he engaged in sexual contact with her while she was a minor, allegedly facilitated by Jeffrey Epstein. Dershowitz provides detailed testimony about flight records, calendar entries, his whereabouts during alleged incidents, and refutes witness testimony from Epstein's staff members Juan Alessi and Alfredo Rodriguez. The deposition includes heated exchanges between plaintiff attorney Jack Scarola and Dershowitz's attorney Thomas Scott regarding the interpretation of flight manifests, calendar entries showing Dershowitz meeting with Jeffrey Epstein in December 2000 and January 2001, and massage appointments. A partial deposition of Paul Cassell (one of Virginia Roberts' attorneys) is also included, addressing the factual basis for allegations against Dershowitz. The document reveals the core legal dispute: whether flight logs and circumstantial evidence demonstrate Dershowitz was present when Virginia Roberts was at Epstein's locations, versus his claims that such evidence actually exonerates him.","Ghislaine Maxwell, Virginia Roberts, and ET"
Jeffrey Epstein,Bill Clinton,government official,entertained on private jet,2000-2002,HOUSE_OVERSIGHT_012103,HOUSE_OVERSIGHT_012103:15,15,transcript,data/001_split/HOUSE_OVERSIGHT_012103.txt,"This document is a transcript of a telephone interview conducted on April 7, 2011, between Virginia Roberts (in Australia), her attorney Brad Edwards, and Edwards's lawyer Jack Scarola. Roberts provides detailed testimony about her relationship with Jeffrey Epstein from approximately 1998 to 2002, when she was a minor. She describes how she was recruited through Ghislaine Maxwell while working at Mar-a-Lago, then engaged in sexual activities with Epstein that evolved into a 'full-time employment' arrangement involving massage services that included sexual conduct. Roberts testifies that Epstein systematically recruited underage girls for sexual purposes, sent her to provide 'erotic massages' to his associates, traveled extensively with him on his private jet, and engaged in elaborate schemes to procure and exploit minors. She identifies numerous public figures who traveled with or visited Epstein, names other victims, and describes Epstein's bragging about his connections to powerful people including Bill Clinton. The interview was conducted to supplement evidence for Edwards's legal case against Epstein and documents Roberts's willingness to provide testimony about these crimes despite her previous reluctance due to fear and desire to protect her family.",Bill Clinton
Jeffrey Epstein,Naomi Campbell,,entertained on private jet,2000-2002,HOUSE_OVERSIGHT_012103,HOUSE_OVERSIGHT_012103:14,14,transcript,data/001_split/HOUSE_OVERSIGHT_012103.txt,"This document is a transcript of a telephone interview conducted on April 7, 2011, between Virginia Roberts (in Australia), her attorney Brad Edwards, and Edwards's lawyer Jack Scarola. Roberts provides detailed testimony about her relationship with Jeffrey Epstein from approximately 1998 to 2002, when she was a minor. She describes how she was recruited through Ghislaine Maxwell while working at Mar-a-Lago, then engaged in sexual activities with Epstein that evolved into a 'full-time employment' arrangement involving massage services that included sexual conduct. Roberts testifies that Epstein systematically recruited underage girls for sexual purposes, sent her to provide 'erotic massages' to his associates, traveled extensively with him on his private jet, and engaged in elaborate schemes to procure and exploit minors. She identifies numerous public figures who traveled with or visited Epstein, names other victims, and describes Epstein's bragging about his connections to powerful people including Bill Clinton. The interview was conducted to supplement evidence for Edwards's legal case against Epstein and documents Roberts's willingness to provide testimony about these crimes despite her previous reluctance due to fear and desire to protect her family.",Naomi Campbell
Jeffrey Epstein,"Prince Andrew, Duke of York",victim,entertained on private jet,2000-2002,HOUSE_OVERSIGHT_012103,HOUSE_OVERSIGHT_012103:16,16,transcript,data/001_split/HOUSE_OVERSIGHT_012103.txt,"This document is a transcript of a telephone interview conducted on April 7, 2011, between Virginia Roberts (in Australia), her attorney Brad Edwards, and Edwards's lawyer Jack Scarola. Roberts provides detailed testimony about her relationship with Jeffrey Epstein from approximately 1998 to 2002, when she was a minor. She describes how she was recruited through Ghislaine Maxwell while working at Mar-a-Lago, then engaged in sexual activities with Epstein that evolved into a 'full-time employment' arrangement involving massage services that included sexual conduct. Roberts testifies that Epstein systematically recruited underage girls for sexual purposes, sent her to provide 'erotic massages' to his associates, traveled extensively with him on his private jet, and engaged in elaborate schemes to procure and exploit minors. She identifies numerous public figures who traveled with or visited Epstein, names other victims, and describes Epstein's bragging about his connections to powerful people including Bill Clinton. The interview was conducted to supplement evidence for Edwards's legal case against Epstein and documents Roberts's willingness to provide testimony about these crimes despite her previous reluctance due to fear and desire to protect her family.","Prince Andrew, Duke of York"
Jeffrey Epstein,Jean-Luc Didier Henri-Rene Brunel,business associate,recruited and transported underage girls for,2000-2005,HOUSE_OVERSIGHT_022058_part1,HOUSE_OVERSIGHT_022058_part1:24,24,book_excerpt,data/001_split/HOUSE_OVERSIGHT_022058_part1.txt,"This is an excerpt from a biographical/investigative work that chronicles Jeffrey Epstein's life from childhood through the early 2000s. The document details his family background as a Brooklyn-born son of immigrant parents, his precocious academic talents, his employment at Bear Stearns as a young trader, his exit from that firm under questionable circumstances, and his subsequent rise as a money manager and financier serving ultra-wealthy clients. Critically, the document includes detailed testimony and allegations from victims describing systematic sexual abuse of minors, including Virginia Roberts' 2015 declaration describing abuse beginning at age 15. The narrative also documents Epstein's cultivation of relationships with prominent figures like Les Wexner, his association with Ghislaine Maxwell (who allegedly procured victims), his involvement with modeling agency MC2, and investigative journalism efforts by Vanity Fair editor Graydon Carter and writer Vicky Ward to expose his activities. The document presents substantial evidence of financial misconduct, manipulation of victims through false promises, and a sophisticated network of enablers and associates who facilitated his crimes.",Jean-Luc Didier Henri-Rene Brunel
Jeffrey Epstein,Lawrence Summers,government official,hosted on private aircraft,2001,HOUSE_OVERSIGHT_022237,HOUSE_OVERSIGHT_022237:9,9,report,data/001_split/HOUSE_OVERSIGHT_022237.txt,"This document is an investigative report examining Jeffrey Epstein's criminal activities spanning from the mid-1990s through the 2010s, focusing on his systematic sexual exploitation of underage girls and his connection to prominent figures including Alan Dershowitz. The report traces Epstein's rise as a wealth manager for Les Wexner, his cultivation of relationships with academics and intellectuals at Harvard, and his establishment of a sophisticated trafficking operation using girls from difficult backgrounds. A central focus is Alan Dershowitz's role as Epstein's lead attorney following the 2005 police investigation, documenting how Dershowitz allegedly used discrediting tactics against alleged victims, investigated prosecutors and their families, and may have personally engaged in sexual contact with trafficking victims. The report reveals how despite overwhelming evidence of crimes involving dozens of victims, Epstein received a remarkably lenient 2008 plea deal allowing him to serve only 13 months in county jail on work release, facilitated through a non-prosecution agreement that granted immunity to co-conspirators and associates. Multiple alleged victims provided detailed accounts of being trafficked to Epstein's friends including royalty, politicians, and businessmen, and named Dershowitz specifically as one of the men they were forced to have sexual contact with, establishing potential connections between legal representation and personal exploitation.",Lawrence Henry Summers
Jeffrey Epstein,Virginia Roberts Giuffre,victim,traveled with,2001-01-01,TEXT-001-HOUSE_OVERSIGHT_010887,TEXT-001-HOUSE_OVERSIGHT_010887:19,19,court_filing,data/new_docs_nov2024_processed/tranche_004/TEXT-001-HOUSE_OVERSIGHT_010887.txt,"This document is a complex litigation package filed in Florida state court in January 2016 in a defamation case brought by attorneys Bradley Edwards and Paul Cassell against Harvard law professor Alan Dershowitz. The primary filing is Dershowitz's motion requesting clarification or relief from a confidentiality order so he can submit Virginia Roberts Giuffre's sealed deposition testimony to law enforcement agencies for potential perjury investigations. The packet includes Giuffre's detailed sworn declaration describing her experiences as a sex trafficking victim of Jeffrey Epstein from 1999 to 2002, her sexual encounters with multiple prominent figures including Dershowitz, Prince Andrew, and others, and her assertions regarding meetings with former President Clinton. It also includes correspondence from former FBI Director Louis Freeh providing analysis of Secret Service records indicating no evidence of Clinton's presence on Epstein's island during the alleged timeframe. The document represents a critical juncture in litigation attempting to discredit Giuffre's credibility while simultaneously relying on her testimony for other purposes, illustrating the complex legal and reputational dynamics surrounding Epstein-related allegations.",Virginia Roberts Giuffre
Jeffrey Epstein,Virginia Roberts Giuffre,victim,traveled with,2001-03-06,HOUSE_OVERSIGHT_015647,HOUSE_OVERSIGHT_015647:2,2,media_article,data/new_docs_nov2024_processed/tranche_009/HOUSE_OVERSIGHT_015647.txt,"The document is a media article from the Daily Mail that describes a 2001 six‑week trip organized by Jeffrey Epstein for a 17‑year‑old girl identified as Virginia. Epstein allegedly paid her $15,000, bought her jewellery and furniture, and flew her to Paris, Spain, Tangier and London, where she stayed at Ghislaine Maxwell’s house. During the trip Prince Andrew met Virginia, danced with her at London’s Tramp nightclub and was photographed with her, while Maxwell facilitated the encounters. The piece highlights the alleged sexual exploitation, the financial transactions, and the involvement of high‑profile figures, raising questions about accountability and the Prince’s awareness of Epstein’s criminal history.",Virginia
Jeffrey Epstein,Virginia Roberts Giuffre,victim,traveled with,2001-03-10,HOUSE_OVERSIGHT_015647,HOUSE_OVERSIGHT_015647:3,3,media_article,data/new_docs_nov2024_processed/tranche_009/HOUSE_OVERSIGHT_015647.txt,"The document is a media article from the Daily Mail that describes a 2001 six‑week trip organized by Jeffrey Epstein for a 17‑year‑old girl identified as Virginia. Epstein allegedly paid her $15,000, bought her jewellery and furniture, and flew her to Paris, Spain, Tangier and London, where she stayed at Ghislaine Maxwell’s house. During the trip Prince Andrew met Virginia, danced with her at London’s Tramp nightclub and was photographed with her, while Maxwell facilitated the encounters. The piece highlights the alleged sexual exploitation, the financial transactions, and the involvement of high‑profile figures, raising questions about accountability and the Prince’s awareness of Epstein’s criminal history.",Virginia
Jeffrey Epstein,Virginia Roberts Giuffre,victim,traveled with,2001-03-14,HOUSE_OVERSIGHT_015647,HOUSE_OVERSIGHT_015647:4,4,media_article,data/new_docs_nov2024_processed/tranche_009/HOUSE_OVERSIGHT_015647.txt,"The document is a media article from the Daily Mail that describes a 2001 six‑week trip organized by Jeffrey Epstein for a 17‑year‑old girl identified as Virginia. Epstein allegedly paid her $15,000, bought her jewellery and furniture, and flew her to Paris, Spain, Tangier and London, where she stayed at Ghislaine Maxwell’s house. During the trip Prince Andrew met Virginia, danced with her at London’s Tramp nightclub and was photographed with her, while Maxwell facilitated the encounters. The piece highlights the alleged sexual exploitation, the financial transactions, and the involvement of high‑profile figures, raising questions about accountability and the Prince’s awareness of Epstein’s criminal history.",Virginia
Jeffrey Epstein,Virginia Roberts Giuffre,victim,traveled with,2001-03-20,HOUSE_OVERSIGHT_015647,HOUSE_OVERSIGHT_015647:5,5,media_article,data/new_docs_nov2024_processed/tranche_009/HOUSE_OVERSIGHT_015647.txt,"The document is a media article from the Daily Mail that describes a 2001 six‑week trip organized by Jeffrey Epstein for a 17‑year‑old girl identified as Virginia. Epstein allegedly paid her $15,000, bought her jewellery and furniture, and flew her to Paris, Spain, Tangier and London, where she stayed at Ghislaine Maxwell’s house. During the trip Prince Andrew met Virginia, danced with her at London’s Tramp nightclub and was photographed with her, while Maxwell facilitated the encounters. The piece highlights the alleged sexual exploitation, the financial transactions, and the involvement of high‑profile figures, raising questions about accountability and the Prince’s awareness of Epstein’s criminal history.",Virginia
Jeffrey Epstein,Bill Clinton,government official,flew on private aircraft owned by,2001-2003,TEXT-001-HOUSE_OVERSIGHT_026314,TEXT-001-HOUSE_OVERSIGHT_026314:4,4,email,data/new_docs_nov2024_processed/tranche_001/TEXT-001-HOUSE_OVERSIGHT_026314.txt,"This document is an email exchange dated August 12, 2018, in which Peter Thomas Roth forwards to Jeffrey Epstein a Page Six gossip column reporting on a secret early-morning meeting between Steve Bannon (former White House Chief Strategist) and Jeffrey Epstein at Epstein's 21,000-square-foot mansion on East 71st Street in Manhattan. The article speculates about potential business dealings and political motivations for the meeting, noting Bannon's need for funds and Epstein's desire for political power and access. The article also includes biographical context about Epstein's criminal history, his relationships with powerful figures including Bill Clinton, Prince Andrew, and Donald Trump, and his 2008 guilty plea to soliciting prostitution from a minor. The email thread appears casual, with brief responses, and concludes with a confidentiality notice identifying the correspondence as belonging to 'JEE' (Jeffrey Epstein).",Bill Clinton
Jeffrey Epstein,Bill Clinton,government official,flew on private plane of,2001-2003,TEXT-001-HOUSE_OVERSIGHT_026312,TEXT-001-HOUSE_OVERSIGHT_026312:5,5,email,data/new_docs_nov2024_processed/tranche_004/TEXT-001-HOUSE_OVERSIGHT_026312.txt,"This document is a forwarded email dated August 12, 2018, containing a Page Six gossip column article about a meeting between former White House Chief Strategist Steve Bannon and financier Jeffrey Epstein. The article reports that Bannon was seen entering Epstein's registered sex offender mansion on the Upper East Side at approximately 7 a.m. on Wednesday (August 8, 2018). The column speculates about the nature of their meeting, suggesting it may be related to Bannon needing financial backing for his political agenda while Epstein seeks access to political power. The article provides historical context about Epstein's relationships with various political figures, including Bill Clinton, Prince Andrew, and Donald Trump, and references legal settlements and guilty pleas related to Epstein's crimes involving minors. The email sender, Peter Thomas Roth, appears to be forwarding the article to Epstein himself with a brief approving comment about a photograph.",Bill Clinton
Jeffrey Epstein,Bill Clinton,government official,flew to South Africa with,2002,HOUSE_OVERSIGHT_022210,HOUSE_OVERSIGHT_022210:1,1,media_article,data/001_split/HOUSE_OVERSIGHT_022210.txt,"This is a newspaper article from the Virgin Islands Daily News dated March 1, 2019, examining Jeffrey Epstein's financial background, extensive real estate holdings, and legal troubles. The article documents his properties including a $13 million Palm Beach home, the private island 'Little St James' in the Virgin Islands, a 10,000-acre New Mexico ranch, and various aircraft. It describes his prominent connections to political figures like President Bill Clinton and Democratic candidates, as well as his 2002 fact-finding AIDS mission to South Africa with former President Clinton, actor Kevin Spacey, and comedian Chris Tucker. The article details allegations that Epstein and British socialite Ghislaine Maxwell organized underage sex parties on his private plane ('The Lolita Express') and at his homes, citing a 2015 federal civil suit filed by victim Virginia Roberts that was settled in 2017. The article also analyzes Epstein's high-powered legal defense team, including Republican icon Kenneth Starr from the prestigious law firm Kirkland & Ellis, and other prominent attorneys, as well as allegations regarding U.S. Magistrate Bruce Reinhart's potential conflict of interest in switching sides between the prosecution and defense.",Bill Clinton
Jeffrey Epstein,Chris Tucker,,flew to South Africa with,2002,HOUSE_OVERSIGHT_022210,HOUSE_OVERSIGHT_022210:3,3,media_article,data/001_split/HOUSE_OVERSIGHT_022210.txt,"This is a newspaper article from the Virgin Islands Daily News dated March 1, 2019, examining Jeffrey Epstein's financial background, extensive real estate holdings, and legal troubles. The article documents his properties including a $13 million Palm Beach home, the private island 'Little St James' in the Virgin Islands, a 10,000-acre New Mexico ranch, and various aircraft. It describes his prominent connections to political figures like President Bill Clinton and Democratic candidates, as well as his 2002 fact-finding AIDS mission to South Africa with former President Clinton, actor Kevin Spacey, and comedian Chris Tucker. The article details allegations that Epstein and British socialite Ghislaine Maxwell organized underage sex parties on his private plane ('The Lolita Express') and at his homes, citing a 2015 federal civil suit filed by victim Virginia Roberts that was settled in 2017. The article also analyzes Epstein's high-powered legal defense team, including Republican icon Kenneth Starr from the prestigious law firm Kirkland & Ellis, and other prominent attorneys, as well as allegations regarding U.S. Magistrate Bruce Reinhart's potential conflict of interest in switching sides between the prosecution and defense.",Chris Tucker
